,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Pevek,81,RU,1562110565,96,69.7,170.27,35.4,12.03
1,Grindavik,75,IS,1562110567,87,63.84,-22.43,53.6,13.87
2,Yeppoon,20,AU,1562110026,64,-23.13,150.74,68.0,8.05
3,San Cristobal,66,HN,1562110569,55,14.68,-86.92,75.0,6.58
4,Carauari,57,BR,1562110571,97,-4.88,-66.9,72.84,3.33
5,Luganville,40,VU,1562110572,78,-15.51,167.18,80.6,3.36
6,Rikitea,100,PF,1562110573,87,-23.12,-134.97,66.72,24.29
7,Port Alfred,61,ZA,1562110302,52,-33.59,26.89,66.0,3.0
8,Airai,80,TL,1562110576,60,-8.93,125.41,77.52,2.62
9,Cape Town,75,ZA,1562110577,93,-33.93,18.42,57.99,17.22
10,Ushuaia,75,AR,1562110579,94,-54.81,-68.31,32.0,10.29
11,Busselton,5,AU,1562110580,80,-33.64,115.35,45.0,18.7
12,Saint George,0,GR,1562110581,64,39.45,22.34,69.8,1.81
13,Kapaa,1,US,1562110583,70,22.08,-159.32,84.2,10.29
14,Hobart,20,AU,1562110584,70,-42.88,147.33,53.01,9.17
15,Hobyo,38,SO,1562110585,76,5.35,48.53,76.08,22.7
16,Liwale,0,TZ,1562110587,87,-9.8,37.92,61.5,6.93
17,Leningradskiy,100,RU,1562110379,96,69.38,178.42,37.56,4.79
18,Coquimbo,0,CL,1562110589,87,-29.95,-71.34,51.8,5.82
19,Tura,7,RU,1562110591,37,64.27,100.22,64.2,6.55
20,Dikson,100,RU,1562110592,91,73.51,80.55,37.38,7.11
21,Faanui,77,PF,1562110593,82,-16.48,-151.75,76.98,32.1
22,Langenburg,54,CA,1562110595,76,50.84,-101.7,61.14,8.19
23,Hilo,1,US,1562110484,45,19.71,-155.08,87.8,13.87
24,Dubbo,0,AU,1562110597,52,-32.25,148.6,46.4,14.99
25,Kodiak,20,US,1562110599,52,39.95,-94.76,91.99,10.29
26,Kaitangata,67,NZ,1562110600,71,-46.28,169.85,59.0,1.01
27,Vaini,100,IN,1562110601,88,15.34,74.49,77.16,4.16
28,Longyearbyen,75,NO,1562110603,76,78.22,15.63,48.2,11.41
29,Punta Arenas,90,CL,1562110604,92,-53.16,-70.91,33.8,10.29
30,Puerto Ayora,75,EC,1562110605,73,-0.74,-90.35,75.2,19.46
31,Avarua,8,CK,1562110421,64,-21.21,-159.78,71.6,13.87
